Land Closed,,,,,,,,,,,,,,
Purchased,12/6/2021,Office,"Hammond, LA",210 South Cherry Street,0.52,,"$510,000.00",,1/11/2022,1/11/2022,,FALSE,,
Purchased,12/28/2023,N/A,"Lafayette, LA",Settlers Trace Blvd,2.473 Acres,,"$2,080,000.00",,12/28/2023,9/30/2023,,FALSE,,
Sold,5/31/2024,Okaloosa Ophthalmology,"Crestview, FL",Crosson St,1.91,,"$580,000.00",,5/31/2024,3/15/2024,,FALSE,,
,,Office space,"Hammond, LA",,1.74,,"$530,000.00",,3/3/2025,4/2/2025,Bauerle Rd.,"4J Holdings-I, LLC",,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
